energy,U234 + photon [inclusive] width,n + U233 width,J,Pi,L
612.5083,0.03085337,0.0007985859,2,1,0
613.2063,0.01603963,0.004796241,2,1,0
615.1138,0.02624494,0.005963929,2,1,0
618.8829,0.0430024,0.004448689,2,1,0
619.961,0.03306441,0.004700888,2,1,0
622.27,0.02784068,0.002334136,2,1,0
624.2995,0.04991708,0.00787536,2,1,0
626.4831,0.03838581,0.03859267,2,1,0
627.2477,0.04112057,8.142095e-05,2,1,0
630.115,0.06274964,0.02165998,2,1,0
630.177,0.0410222,2.231393e-06,2,1,0
633.5346,0.01329597,0.005595189,2,1,0
634.4424,0.03281637,0.0007762565,2,1,0
635.0523,0.03712808,0.001567637,2,1,0
635.3976,0.03677717,0.002153423,2,1,0
636.1483,0.03748436,0.000472941,2,1,0
637.8892,0.02008848,0.002411122,2,1,0
639.0175,0.06342013,0.02144547,2,1,0
643.1568,0.03960028,0.008104576,2,1,0
647.5258,0.03845085,0.0001101951,2,1,0
649.8061,0.03493663,0.0002011566,2,1,0
651.921,0.04426347,0.02431246,2,1,0
654.4283,0.03817331,3.64138e-07,2,1,0
656.4154,0.03828176,0.01975399,2,1,0
659.0746,0.03820808,0.0007862934,2,1,0
661.3049,0.03233352,0.006129477,2,1,0
663.624,0.03745357,0.01181808,2,1,0
666.6588,0.04246388,0.003349379,2,1,0
669.3077,0.03307637,0.000252011,2,1,0
669.7255,0.03831089,2.387105e-05,2,1,0
671.0471,0.01039868,0.004142485,2,1,0
671.9172,0.01962935,0.00418571,2,1,0
673.9048,0.03896304,9.431103e-08,2,1,0
677.6804,0.028105,0.01786823,2,1,0
679.4809,0.00205982,0.01631539,2,1,0
681.123,0.02964468,0.003244943,2,1,0
683.8313,0.03121668,0.002582585,2,1,0
685.6674,0.04061149,0.003375604,2,1,0
686.5047,0.03842721,0.002515196,2,1,0
688.3715,0.03112894,0.008124129,2,1,0
688.982,0.0257712,0.002156314,2,1,0
691.9905,0.05692172,0.0307811,2,1,0
695.3785,0.007188792,0.004545431,2,1,0
696.771,0.03447515,0.01611303,2,1,0
698.483,0.01444222,0.004522013,2,1,0
698.8721,0.03800736,0.0001206054,2,1,0
699.3783,0.01239306,0.00258767,2,1,0
701.1176,0.03478199,0.0009389235,2,1,0
703.4221,0.01831328,0.004670146,2,1,0
703.8571,0.03759531,0.0007339758,2,1,0
705.1176,0.04186223,0.0006647559,2,1,0
708.1581,0.04348601,0.02299968,2,1,0
708.9966,0.03602144,0.0001655894,2,1,0
711.0939,0.03066173,0.01019662,2,1,0
712.9373,0.04031737,0.01324064,2,1,0
715.0601,0.05062219,0.007744148,2,1,0
718.1139,0.03415375,0.008822188,2,1,0
718.7291,0.03149238,0.002519503,2,1,0
720.7647,0.03881503,0.0193461,2,1,0
723.7357,0.02943903,0.001575926,2,1,0
724.4826,0.02712688,0.001443072,2,1,0
729.6235,0.0364386,0.007276354,2,1,0
731.0922,0.03942382,0.007404392,2,1,0
732.9504,0.03758376,0.0008868714,2,1,0
733.0715,0.03772545,0.001570994,2,1,0
736.5881,0.05075588,0.02378132,2,1,0
737.4082,0.03733944,0.0006931602,2,1,0
738.6443,0.03276532,0.002921946,2,1,0
741.7194,0.01026064,0.004794881,2,1,0
