energy,Cr51 + photon [inclusive] width,n + Cr50 width,J,Pi,L
330958.6,0.37,5.97406,1.5,1,2
343113.0,0.75,24.29691,1.5,1,2
355967.9,0.75,63.11637,1.5,1,2
374031.2,0.75,75.36829,1.5,1,2
374431.3,0.75,17.0031,1.5,1,2
395755.1,0.75,1.224856,1.5,1,2
403025.0,0.75,24.34449,1.5,1,2
411535.3,0.37,292.7853,1.5,1,2
422080.8,0.75,22.52035,1.5,1,2
431839.6,0.37,133.2788,1.5,1,2
433623.5,0.75,92.89274,1.5,1,2
459057.4,0.37,371.1857,1.5,1,2
470078.2,0.75,111.7227,1.5,1,2
471262.2,0.37,42.53492,1.5,1,2
490422.3,0.75,79.03654,1.5,1,2
494464.3,0.37,55.47202,1.5,1,2
495088.8,0.37,32.33339,1.5,1,2
508355.3,0.37,176.226,1.5,1,2
514749.3,0.75,21.83474,1.5,1,2
523734.9,0.37,244.5835,1.5,1,2
540580.1,0.37,91.3379,1.5,1,2
564859.8,0.75,25.31551,1.5,1,2
570371.7,0.75,36.76911,1.5,1,2
589083.5,0.75,8.654544,1.5,1,2
590554.9,0.75,138.4909,1.5,1,2
599469.2,0.75,96.33418,1.5,1,2
613442.4,0.75,8.952706,1.5,1,2
617435.7,0.37,187.3736,1.5,1,2
622179.7,0.37,38.68288,1.5,1,2
622561.9,0.37,133.068,1.5,1,2
643821.5,0.75,83.87826,1.5,1,2
645571.1,0.37,148.1653,1.5,1,2
648971.9,0.75,6.445969,1.5,1,2
659303.4,0.75,11.41816,1.5,1,2
659941.5,0.75,28.95677,1.5,1,2
670002.4,0.75,31.15158,1.5,1,2
685913.6,0.75,82.61155,1.5,1,2
693145.4,0.37,51.23427,1.5,1,2
709384.0,0.75,14.55085,1.5,1,2
712009.8,0.37,446.5394,1.5,1,2
721239.3,0.37,494.5529,1.5,1,2
722150.4,0.37,70.97598,1.5,1,2
726122.8,0.37,573.8774,1.5,1,2
727926.3,0.75,23.3596,1.5,1,2
736684.4,0.75,38.44078,1.5,1,2
742747.0,0.37,1033.138,1.5,1,2
745022.4,0.37,14.81519,1.5,1,2
751747.9,0.37,70.02152,1.5,1,2
752369.8,0.37,236.1338,1.5,1,2
765262.7,0.37,219.3753,1.5,1,2
121290.9,0.58,2.174285,2.5,1,2
175889.2,0.75,3.938076,2.5,1,2
205219.8,0.75,5.271367,2.5,1,2
250237.6,0.75,5.017146,2.5,1,2
258344.6,0.61,32.41232,2.5,1,2
263381.5,0.46,23.87374,2.5,1,2
267211.6,0.75,9.57895,2.5,1,2
281161.8,0.75,7.731598,2.5,1,2
288324.1,0.75,7.044911,2.5,1,2
289180.7,0.59,22.8521,2.5,1,2
292202.2,0.75,3.432475,2.5,1,2
292901.5,0.75,2.223448,2.5,1,2
297584.7,0.75,3.373922,2.5,1,2
303841.1,0.75,24.25257,2.5,1,2
334929.5,0.75,23.17844,2.5,1,2
336767.8,0.75,20.44529,2.5,1,2
353430.6,0.75,32.64881,2.5,1,2
359737.7,0.75,3.707431,2.5,1,2
366760.2,0.75,37.89055,2.5,1,2
390298.0,0.75,27.44309,2.5,1,2
390989.2,0.75,41.6459,2.5,1,2
395326.8,0.75,42.9765,2.5,1,2
395906.3,0.75,45.84358,2.5,1,2
403637.8,0.75,18.26683,2.5,1,2
416640.6,0.75,32.59089,2.5,1,2
427369.8,0.75,15.59232,2.5,1,2
445079.1,0.37,31.26395,2.5,1,2
468609.3,0.75,104.951,2.5,1,2
471811.8,0.37,658.3959,2.5,1,2
479924.9,0.75,48.07203,2.5,1,2
485799.4,0.75,54.9972,2.5,1,2
496630.0,0.75,12.99541,2.5,1,2
517913.4,0.75,17.33729,2.5,1,2
529178.0,0.75,23.07284,2.5,1,2
556858.2,0.75,23.25742,2.5,1,2
568395.9,0.75,4.887185,2.5,1,2
568767.9,0.75,34.37725,2.5,1,2
597561.0,0.75,13.01601,2.5,1,2
597865.6,0.75,93.44233,2.5,1,2
612175.7,0.75,24.77417,2.5,1,2
621960.9,0.75,14.20944,2.5,1,2
624240.9,0.75,45.53398,2.5,1,2
644214.2,0.75,43.07374,2.5,1,2
649331.3,0.75,56.55139,2.5,1,2
653308.7,0.75,56.0371,2.5,1,2
655692.8,0.37,461.31,2.5,1,2
659553.8,0.75,36.11324,2.5,1,2
668043.5,0.75,1.971425,2.5,1,2
668612.0,0.75,46.62998,2.5,1,2
670587.4,0.75,43.47388,2.5,1,2
679176.2,0.37,832.5878,2.5,1,2
695444.0,0.75,61.82414,2.5,1,2
703069.9,0.75,140.3631,2.5,1,2
710102.8,0.75,90.77398,2.5,1,2
728618.6,0.75,17.83722,2.5,1,2
729065.9,0.75,99.12714,2.5,1,2
750045.5,0.75,43.37696,2.5,1,2
758368.3,0.37,355.4335,2.5,1,2
800000.0,0.37,505.69,2.5,1,2
