energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
1217.813,0.0244,0.0002007,0.5,-1,1
1225.662,0.0244,0.0001507,0.5,-1,1
1234.701,0.0244,0.0003148,0.5,-1,1
1254.856,0.0244,0.0001478,0.5,-1,1
1276.11,0.0244,8.02e-05,0.5,-1,1
1291.203,0.0244,0.0004061,0.5,-1,1
1296.666,0.0244,0.0001376,0.5,-1,1
1308.009,0.0244,0.0006922,0.5,-1,1
1326.486,0.0244,2.556e-05,0.5,-1,1
1341.056,0.0244,0.00014363,0.5,-1,1
1359.895,0.0244,0.0006687,0.5,-1,1
1373.984,0.0244,0.001351,0.5,-1,1
1412.565,0.0244,0.0001234,0.5,-1,1
1418.07,0.0244,0.0003015,0.5,-1,1
1425.697,0.0244,0.0004961,0.5,-1,1
1442.151,0.0244,0.0001426,0.5,-1,1
1460.091,0.0244,4.899e-05,0.5,-1,1
1471.992,0.0244,5.56e-05,0.5,-1,1
1502.566,0.0244,8.484e-05,0.5,-1,1
1504.377,0.0244,0.0006433,0.5,-1,1
1511.207,0.0244,0.005849,0.5,-1,1
1516.0,0.0244,0.0006,0.5,-1,1
1542.619,0.0244,5.15e-05,0.5,-1,1
1598.524,0.0244,9.132e-05,0.5,-1,1
1605.14,0.0244,0.0002598,0.5,-1,1
1613.053,0.0244,0.00108,0.5,-1,1
1615.25,0.0244,0.0006,0.5,-1,1
1637.335,0.0244,3.95e-05,0.5,-1,1
1649.648,0.0244,6.958e-06,0.5,-1,1
1659.955,0.0244,0.0003299,0.5,-1,1
1679.722,0.0244,0.0008649,0.5,-1,1
1684.072,0.0244,0.000105,0.5,-1,1
1696.266,0.0244,0.0001909,0.5,-1,1
1713.936,0.0244,1.714e-06,0.5,-1,1
1732.48,0.0244,0.0003549,0.5,-1,1
1747.555,0.0244,0.000468,0.5,-1,1
1779.88,0.0244,2.571e-05,0.5,-1,1
1793.933,0.0244,2.433e-06,0.5,-1,1
1815.094,0.0244,0.0005534,0.5,-1,1
1817.094,0.0244,0.0002183,0.5,-1,1
1846.425,0.0244,0.0002121,0.5,-1,1
1853.004,0.0244,2.067e-06,0.5,-1,1
1859.409,0.0244,0.0003305,0.5,-1,1
1861.109,0.0244,0.0007611,0.5,-1,1
1875.014,0.0244,8.731e-06,0.5,-1,1
1909.551,0.0244,0.0002139,0.5,-1,1
1918.877,0.0244,3.168e-06,0.5,-1,1
1932.222,0.0244,0.004448,0.5,-1,1
1955.193,0.0244,0.0006527,0.5,-1,1
1956.69,0.0244,6.169e-06,0.5,-1,1
1986.112,0.0244,0.0008466,0.5,-1,1
2005.09,0.0244,0.001607005,0.5,-1,1
2027.5,0.0244,0.001426552,0.5,-1,1
2055.761,0.0244,0.0004782979,0.5,-1,1
2065.087,0.0244,0.0009097436,0.5,-1,1
2072.001,0.0244,0.001894654,0.5,-1,1
2086.965,0.0244,0.0001214224,0.5,-1,1
2115.124,0.0244,3.579017e-06,0.5,-1,1
2140.006,0.0244,0.000800564,0.5,-1,1
2160.461,0.0244,0.0074292,0.5,-1,1
2166.957,0.0244,0.001278215,0.5,-1,1
2170.319,0.0244,0.0004527274,0.5,-1,1
2172.685,0.0244,0.002943815,0.5,-1,1
2201.86,0.0244,0.003484042,0.5,-1,1
2214.653,0.0244,0.00143719,0.5,-1,1
2235.638,0.0244,0.0001796841,0.5,-1,1
2259.298,0.0244,4.600954e-06,0.5,-1,1
2276.268,0.0244,2.173192e-05,0.5,-1,1
2283.424,0.0244,0.005553443,0.5,-1,1
2292.995,0.0244,0.0007562242,0.5,-1,1
2296.767,0.0244,4.834736e-05,0.5,-1,1
2323.729,0.0244,0.001453019,0.5,-1,1
2345.765,0.0244,0.005055155,0.5,-1,1
2364.596,0.0244,5.441687e-06,0.5,-1,1
2390.496,0.0244,7.950335e-05,0.5,-1,1
2409.356,0.0244,0.0006237231,0.5,-1,1
2421.131,0.0244,0.001354367,0.5,-1,1
2430.884,0.0244,0.002024525,0.5,-1,1
2446.452,0.0244,8.797527e-05,0.5,-1,1
2453.617,0.0244,0.001664951,0.5,-1,1
2471.194,0.0244,0.0005850975,0.5,-1,1
2491.454,0.0244,0.001174633,0.5,-1,1
2532.109,0.0244,0.0006659035,0.5,-1,1
