energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
3860.602,0.04,0.07440314,0,1,0
3871.611,0.04,0.1221174,0,1,0
3886.729,0.04,0.1688009,0,1,0
3903.996,0.04,0.009410036,0,1,0
3905.643,0.04,0.001787231,0,1,0
3906.258,0.04,0.01423875,0,1,0
3907.328,0.04,0.001569288,0,1,0
3915.346,0.04,0.06717471,0,1,0
3919.593,0.04,0.0839358,0,1,0
3949.44,0.04,0.03968944,0,1,0
3955.686,0.04,0.09184432,0,1,0
3963.24,0.04,0.6146451,0,1,0
3966.057,0.04,0.0007231624,0,1,0
3977.402,0.04,7.668858e-05,0,1,0
3979.304,0.04,0.01922972,0,1,0
3995.676,0.04,0.00293626,0,1,0
4003.894,0.04,0.002937032,0,1,0
4006.021,0.04,0.02889376,0,1,0
4011.43,0.04,0.017154,0,1,0
4026.864,0.04,0.09474031,0,1,0
4032.427,0.04,0.04720957,0,1,0
4035.701,0.04,0.03743235,0,1,0
4041.499,0.04,0.0008960289,0,1,0
4059.803,0.04,0.01580668,0,1,0
4064.054,0.04,0.003013932,0,1,0
4069.831,0.04,0.007131441,0,1,0
4083.512,0.04,0.02877245,0,1,0
4099.604,0.04,0.005157765,0,1,0
4101.834,0.04,0.0003123585,0,1,0
4125.935,0.04,0.3970131,0,1,0
4131.588,0.04,0.01184684,0,1,0
4140.85,0.04,0.1539428,0,1,0
4157.637,0.04,0.005115031,0,1,0
4157.716,0.04,0.009151329,0,1,0
4158.632,0.04,0.008785747,0,1,0
4174.218,0.04,0.3688443,0,1,0
4190.443,0.04,0.0236057,0,1,0
4193.123,0.04,0.004935476,0,1,0
4214.043,0.04,0.3698827,0,1,0
4231.312,0.04,0.0212296,0,1,0
4242.952,0.04,0.01529031,0,1,0
4256.198,0.04,0.004310717,0,1,0
4260.058,0.04,0.01683617,0,1,0
4274.091,0.04,0.0003273918,0,1,0
4285.496,0.04,0.1121324,0,1,0
4313.972,0.04,0.2075998,0,1,0
4322.04,0.04,0.01050059,0,1,0
4325.437,0.04,0.0001552073,0,1,0
4330.357,0.04,6.290487e-05,0,1,0
4338.382,0.04,0.2861477,0,1,0
4340.64,0.04,0.01955889,0,1,0
4357.387,0.04,0.06783466,0,1,0
4365.352,0.04,0.1773094,0,1,0
4382.249,0.04,0.2201054,0,1,0
4391.059,0.04,0.04210184,0,1,0
4408.519,0.04,0.03241316,0,1,0
4420.679,0.04,0.1767955,0,1,0
4428.437,0.04,0.04171971,0,1,0
4445.657,0.04,0.03907255,0,1,0
4452.532,0.04,0.1928037,0,1,0
4461.538,0.04,0.1180816,0,1,0
4478.326,0.04,0.01673837,0,1,0
4478.861,0.04,0.04525802,0,1,0
4479.691,0.04,4.443926e-05,0,1,0
4495.812,0.04,5.072363e-06,0,1,0
4498.817,0.04,0.003121272,0,1,0
4501.445,0.04,0.3451479,0,1,0
4530.699,0.04,0.09170019,0,1,0
4534.443,0.04,0.00153915,0,1,0
