energy,Pb207 + photon [inclusive] width,n + Pb206 width,J,Pi,L
420140.0,0.295501,34.0,2.5,1,2
426900.0,0.2501371,17.0,2.5,1,2
433380.0,2.656567,42.0,2.5,1,2
442200.0,1.176504,14.0,2.5,1,2
444680.0,0.251487,11.0,2.5,1,2
447150.0,0.1832285,12.0,2.5,1,2
451780.0,0.3272002,36.0,2.5,1,2
452740.0,0.574493,5.5,2.5,1,2
460240.0,0.2211039,16.0,2.5,1,2
462410.0,0.2501347,9.0,2.5,1,2
478305.0,0.835,0.374067,2.5,1,2
481720.0,0.835,0.217167,2.5,1,2
485670.0,0.8458948,36.0,2.5,1,2
488500.0,0.2335849,14.0,2.5,1,2
493960.0,0.2159019,29.0,2.5,1,2
501930.0,1.641967,152.0,2.5,1,2
509930.0,0.5774976,81.0,2.5,1,2
511800.0,1.530425,16.0,2.5,1,2
515050.0,0.3266705,6.8,2.5,1,2
519420.0,0.4472125,22.0,2.5,1,2
521090.0,0.4265916,188.0,2.5,1,2
530840.0,0.4749397,18.0,2.5,1,2
532660.0,0.3074135,34.0,2.5,1,2
533850.0,1.13334,60.0,2.5,1,2
541150.0,0.3489377,31.0,2.5,1,2
545790.0,0.4792514,7.3,2.5,1,2
552120.0,0.6460647,52.0,2.5,1,2
559461.0,0.835,0.229467,2.5,1,2
566410.0,1.443285,10.0,2.5,1,2
570830.0,0.9715029,790.0,2.5,1,2
577830.0,0.3427777,29.0,2.5,1,2
581160.0,0.6649555,208.0,2.5,1,2
584283.0,0.835,1.35753,2.5,1,2
591390.0,1.121377,101.0,2.5,1,2
594780.0,0.8457951,11.0,2.5,1,2
598660.0,0.642747,28.0,2.5,1,2
602850.0,0.4990722,3.5,2.5,1,2
614600.0,0.7395177,128.0,2.5,1,2
615500.0,1.120687,376.0,2.5,1,2
618400.0,0.905903,6.3,2.5,1,2
623000.0,0.5990052,421.0,2.5,1,2
631500.0,1.191814,9.5,2.5,1,2
632700.0,1.190719,220.0,2.5,1,2
641400.0,1.192902,190.0,2.5,1,2
646900.0,1.192258,47.0,2.5,1,2
647900.0,1.194659,481.0,2.5,1,2
658300.0,1.194059,407.0,2.5,1,2
668700.0,1.192056,13.0,2.5,1,2
671800.0,1.192127,31.0,2.5,1,2
676400.0,1.193024,270.0,2.5,1,2
678850.0,1.192911,250.0,2.5,1,2
681600.0,1.192073,21.0,2.5,1,2
684100.0,1.192811,242.0,2.5,1,2
687400.0,1.193057,332.0,2.5,1,2
691100.0,1.192102,34.0,2.5,1,2
693200.0,1.192137,47.0,2.5,1,2
696200.0,1.192061,22.0,2.5,1,2
698800.0,1.192174,65.0,2.5,1,2
702300.0,1.192054,21.0,2.5,1,2
712600.0,1.192474,214.0,2.5,1,2
720100.0,1.192048,24.0,2.5,1,2
730800.0,1.192661,376.0,2.5,1,2
732500.0,1.193108,643.0,2.5,1,2
755300.0,1.1927,525.0,2.5,1,2
758600.0,1.192313,243.0,2.5,1,2
760800.0,1.192021,17.0,2.5,1,2
766000.0,1.19223,193.0,2.5,1,2
770400.0,1.192059,52.0,2.5,1,2
773700.0,1.192074,67.0,2.5,1,2
780500.0,1.192069,67.0,2.5,1,2
786300.0,1.19232,327.0,2.5,1,2
792300.0,1.192445,481.0,2.5,1,2
795700.0,1.192025,28.0,2.5,1,2
797700.0,1.192731,829.0,2.5,1,2
806200.0,1.192207,253.0,2.5,1,2
814900.0,1.192055,73.0,2.5,1,2
816200.0,1.19236,478.0,2.5,1,2
823200.0,1.192018,26.0,2.5,1,2
832800.0,1.192083,126.0,2.5,1,2
838300.0,1.192144,228.0,2.5,1,2
844200.0,1.192113,187.0,2.5,1,2
856800.0,1.192078,142.0,2.5,1,2
861100.0,1.192116,219.0,2.5,1,2
866700.0,1.192123,241.0,2.5,1,2
869800.0,1.192012,25.0,2.5,1,2
874400.0,1.192172,355.0,2.5,1,2
885700.0,1.192379,847.0,2.5,1,2
890300.0,1.192278,640.0,2.5,1,2
897200.0,1.192011,27.0,2.5,1,2
10000000.0,1.192,16271000.0,2.5,1,2
472790.0,0.6952231,41.0,2.5,-1,3
818900.0,15.04376,136.0,2.5,-1,3
10000000.0,15.04,967420.0,2.5,-1,3
