energy,Ta182 + photon [inclusive] width,n + Ta181 width,J,Pi,L
2084.956,0.06799214,0.01539785,4,1,0
2087.956,0.06692617,0.1625766,4,1,0
2095.304,0.06799095,0.03178055,4,1,0
2113.894,0.06799814,0.002802251,4,1,0
2120.723,0.06799945,0.005440293,4,1,0
2123.848,0.06766349,0.06588235,4,1,0
2134.753,0.06774418,0.1119619,4,1,0
2140.281,0.06800057,0.001046913,4,1,0
2152.679,0.06833003,0.3027858,4,1,0
2154.133,0.06788526,0.05086536,4,1,0
2167.034,0.06775606,0.04917302,4,1,0
2172.2,0.06800005,6.692339e-05,4,1,0
2186.996,0.0680375,0.07850606,4,1,0
2192.361,0.06877721,0.09337439,4,1,0
2194.955,0.06839053,0.4022665,4,1,0
2207.902,0.06800047,0.001872034,4,1,0
2220.31,0.06788625,0.05976636,4,1,0
2225.503,0.06798889,0.007687996,4,1,0
2239.526,0.06823183,0.0754289,4,1,0
2246.13,0.06799916,0.003622396,4,1,0
2255.139,0.06826994,0.02433864,4,1,0
2262.297,0.06800055,0.002743857,4,1,0
2270.054,0.0680287,0.01342207,4,1,0
2274.02,0.06803393,0.009570744,4,1,0
2291.419,0.06796537,0.06822126,4,1,0
2293.908,0.06673631,0.1256569,4,1,0
2299.819,0.06810295,0.02933525,4,1,0
2310.91,0.06799998,0.0005126426,4,1,0
2322.741,0.06800204,0.003650004,4,1,0
2329.07,0.06761518,0.1456414,4,1,0
2338.957,0.06800035,0.001201516,4,1,0
2345.571,0.06888687,0.1375305,4,1,0
2350.953,0.06800733,0.01937239,4,1,0
2366.504,0.06825986,0.0570882,4,1,0
2370.841,0.06801618,0.03775025,4,1,0
2380.787,0.06794808,0.007681678,4,1,0
2384.59,0.06799077,0.003532887,4,1,0
2385.572,0.0679966,0.002506691,4,1,0
2392.007,0.06834586,0.1923695,4,1,0
2394.059,0.06814433,0.05660717,4,1,0
2407.688,0.06812479,0.03459703,4,1,0
2418.506,0.06801255,0.0146045,4,1,0
2432.744,0.06809449,0.02017854,4,1,0
2443.064,0.06800032,0.002023685,4,1,0
2453.453,0.06799998,0.0001003416,4,1,0
2459.552,0.06835958,0.09031074,4,1,0
2472.475,0.06800516,0.004725821,4,1,0
2478.626,0.06831201,0.0649273,4,1,0
2488.072,0.06801773,0.01186007,4,1,0
2497.502,0.0679917,0.01115815,4,1,0
2502.857,0.0680991,0.01939321,4,1,0
2513.009,0.06791907,0.02867527,4,1,0
2521.496,0.06905473,0.2401924,4,1,0
2526.766,0.06799959,0.001326241,4,1,0
2534.67,0.0679974,0.01130993,4,1,0
2546.905,0.06816565,0.050612,4,1,0
9967.942,0.068,15.61204,4,1,0
