energy,Ni59 + photon [inclusive] width,n + Ni58 width,J,Pi,L
747992.4,1.093,34.1864,2.5,1,2
749675.3,1.093,10.16186,2.5,1,2
752138.6,1.093,166.3446,2.5,1,2
778297.8,1.093,88.29584,2.5,1,2
780050.8,1.093,112.3986,2.5,1,2
781471.2,1.093,10.65211,2.5,1,2
790481.3,1.093,7.703105,2.5,1,2
791185.1,1.093,169.0277,2.5,1,2
797531.8,1.093,8.998423,2.5,1,2
800685.0,1.093,245.5615,2.5,1,2
809321.2,1.093,133.3413,2.5,1,2
