energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
117463.0,0.395,189.503,2,-1,0
119091.4,0.395,148.4736,2,-1,0
121678.5,0.395,75.30644,2,-1,0
122532.6,0.395,0.1507375,2,-1,0
123329.4,0.395,468.1081,2,-1,0
126699.6,0.395,131.607,2,-1,0
131195.0,0.395,0.6566783,2,-1,0
132133.7,0.395,66.36581,2,-1,0
134287.1,0.395,7.680018,2,-1,0
134439.4,0.395,4.09025,2,-1,0
135431.5,0.395,0.4345846,2,-1,0
135740.4,0.395,531.8629,2,-1,0
138466.0,0.395,0.7880017,2,-1,0
140012.6,0.395,246.0502,2,-1,0
143202.0,0.395,0.6226415,2,-1,0
151477.8,0.395,0.7372253,2,-1,0
153741.7,0.395,88.15608,2,-1,0
154977.3,0.395,0.5653086,2,-1,0
155359.9,0.395,19.3502,2,-1,0
155844.2,0.395,70.58436,2,-1,0
156475.4,0.395,173.952,2,-1,0
156811.9,0.395,1.351295,2,-1,0
157013.1,0.395,0.7587936,2,-1,0
158098.5,0.395,1.207509,2,-1,0
160093.3,0.395,0.4340982,2,-1,0
162230.7,0.395,95.59742,2,-1,0
163118.9,0.395,0.3134092,2,-1,0
165070.7,0.395,5.683664,2,-1,0
165187.4,0.395,0.402839,2,-1,0
165844.7,0.395,57.2352,2,-1,0
166800.7,0.395,35.91488,2,-1,0
168180.8,0.395,0.3093877,2,-1,0
171447.7,0.395,8.599909,2,-1,0
172551.7,0.395,0.1964703,2,-1,0
175118.3,0.395,960.9943,2,-1,0
175415.5,0.395,220.7607,2,-1,0
178279.1,0.395,0.974476,2,-1,0
183221.5,0.395,28.95639,2,-1,0
184412.0,0.395,371.6376,2,-1,0
184664.6,0.395,37.67706,2,-1,0
185032.0,0.395,14.10218,2,-1,0
185381.9,0.395,22.47464,2,-1,0
185863.1,0.395,373.3321,2,-1,0
186685.7,0.395,9.343322,2,-1,0
191297.8,0.395,258.4311,2,-1,0
193337.9,0.395,19.20645,2,-1,0
193751.5,0.395,15.71752,2,-1,0
194720.1,0.395,8.467871,2,-1,0
194943.2,0.395,35.78201,2,-1,0
195622.1,0.395,4.513665,2,-1,0
195937.7,0.395,20.60901,2,-1,0
198973.6,0.395,1.096,2,-1,0
200190.5,0.395,1.019203,2,-1,0
200445.9,0.395,0.2962463,2,-1,0
201689.1,0.395,21.36113,2,-1,0
202543.9,0.395,233.5451,2,-1,0
202707.3,0.395,56.32373,2,-1,0
203036.6,0.395,12.18432,2,-1,0
203871.4,0.395,0.2118578,2,-1,0
204915.4,0.395,0.2835973,2,-1,0
204927.1,0.395,0.1190703,2,-1,0
205737.3,0.395,59.06747,2,-1,0
205995.9,0.395,28.07192,2,-1,0
206947.1,0.395,1.38568,2,-1,0
207428.6,0.395,19.15117,2,-1,0
