energy,Rh104 + photon [inclusive] width,n + Rh103 width,J,Pi,L
7384.816,0.3564441,0.02691326,1,1,1
7416.519,0.1759246,0.03277566,1,1,1
7452.382,0.1633962,0.007704768,1,1,1
7473.672,0.1695543,0.1181094,1,1,1
7485.38,0.1094156,0.0480808,1,1,1
7547.746,0.1555478,0.01301958,1,1,1
7603.278,0.191046,0.03352924,1,1,1
7630.484,0.1433848,0.05890455,1,1,1
7682.198,0.1659251,0.05019436,1,1,1
7764.43,0.2329876,0.04581336,1,1,1
7881.884,0.1701181,0.04226327,1,1,1
7906.532,0.1627403,0.09258351,1,1,1
7918.933,0.1411995,0.246268,1,1,1
7986.445,0.1740249,0.1383806,1,1,1
8830.117,0.15,1.246579,1,1,1
34.4481,0.1614157,9.868926e-06,2,1,1
83.52921,0.1568632,6.326031e-06,2,1,1
108.8846,0.161246,5.455532e-06,2,1,1
110.8263,0.174337,0.000110031,2,1,1
128.3175,0.1727237,7.049419e-06,2,1,1
179.3675,0.1722831,0.000109139,2,1,1
199.7897,0.157486,3.280917e-05,2,1,1
264.3668,0.160241,0.0003420828,2,1,1
312.6692,0.2216278,0.0001115603,2,1,1
316.1667,0.1507049,3.607606e-05,2,1,1
321.7815,0.1481159,0.0006253802,2,1,1
354.1025,0.1599575,7.375494e-05,2,1,1
374.1816,0.1798093,0.0003297486,2,1,1
376.7038,0.15356,0.0001056774,2,1,1
427.86,0.1663582,0.0001100853,2,1,1
444.3095,0.1640788,0.0001415484,2,1,1
492.3131,0.1751545,0.001911499,2,1,1
526.401,0.1639059,0.0005008294,2,1,1
547.5293,0.1615692,7.549142e-05,2,1,1
582.0356,0.182844,0.001815603,2,1,1
603.0389,0.1498937,0.0002999762,2,1,1
605.177,0.09799243,0.001598638,2,1,1
607.9901,0.1501574,0.000132635,2,1,1
621.1187,0.392156,0.003784992,2,1,1
644.3997,0.1525259,0.0007139251,2,1,1
742.2242,0.1519592,0.001320459,2,1,1
747.7436,0.1439341,8.503257e-05,2,1,1
760.2077,0.09328055,0.001838264,2,1,1
886.1694,0.1503997,0.0003221974,2,1,1
943.0409,0.07252482,0.0003052086,2,1,1
970.1929,0.1366306,0.0001628686,2,1,1
1002.166,0.1483027,0.0006563735,2,1,1
1072.24,0.1516804,0.0005784196,2,1,1
1082.996,0.1493286,0.0003677158,2,1,1
1100.331,0.1520834,0.0006862912,2,1,1
1151.581,0.1535266,0.001776074,2,1,1
1202.15,0.1508039,0.002015733,2,1,1
1205.72,0.1507167,0.0006874513,2,1,1
1212.391,0.1513999,0.001662017,2,1,1
1355.36,0.1560153,0.001534431,2,1,1
1411.062,0.1512113,0.001919098,2,1,1
1453.799,0.1501632,0.001681858,2,1,1
1466.363,0.1513448,0.0002359008,2,1,1
1483.497,0.1591239,0.006359825,2,1,1
1552.831,0.1562262,0.003794483,2,1,1
1614.262,0.1553215,0.003110488,2,1,1
1665.886,0.153339,0.003260178,2,1,1
1712.947,0.1524755,0.0009514148,2,1,1
1751.674,0.1502361,0.0008039822,2,1,1
1834.446,0.1506463,0.0009985247,2,1,1
1849.85,0.1510053,0.001809209,2,1,1
1893.484,0.1519142,0.001090545,2,1,1
1920.754,0.1542211,0.002275567,2,1,1
1941.913,0.1537916,0.004519538,2,1,1
1997.483,0.1574655,0.001433871,2,1,1
2035.843,0.1496656,0.0007809987,2,1,1
2040.372,0.1488307,0.002171265,2,1,1
2086.231,0.1515193,0.009032344,2,1,1
2138.861,0.1514878,0.0004523207,2,1,1
2249.503,0.1490696,0.004567771,2,1,1
2277.494,0.135934,0.001049556,2,1,1
2366.309,0.1458218,0.009843397,2,1,1
2479.234,0.1494761,0.001307668,2,1,1
2510.185,0.1505349,0.001723082,2,1,1
2597.313,0.1576299,0.02140525,2,1,1
2657.93,0.1518144,0.01065115,2,1,1
2702.11,0.1492118,0.01463951,2,1,1
2763.487,0.1477784,0.004450439,2,1,1
2786.264,0.150136,0.004857836,2,1,1
2874.608,0.155003,0.004731132,2,1,1
2890.006,0.1501566,0.005724005,2,1,1
2902.67,0.1477813,0.005151922,2,1,1
2967.465,0.1505547,0.008416101,2,1,1
